               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073862,            0.028326,            0.046324,             0.41216,             0.29489,             0.18628,            0.069079,            0.040091,              0.0178,            0.026389,           0.0033315,           0.0033315,            0.070016
                   1,            0.058036,            0.022021,            0.028044,             0.61629,             0.37311,             0.36043,             0.14085,            0.038754,            0.016356,            0.017224,            0.006628,            0.006628,            0.039979
                   2,            0.055766,            0.021603,            0.021647,             0.61114,             0.38868,             0.37763,             0.14154,            0.041152,            0.016202,             0.01382,            0.009778,            0.009778,           0.0097959
                   3,             0.05304,            0.022355,            0.019704,             0.60241,             0.40731,             0.40411,             0.16628,            0.036849,            0.016702,            0.012669,           0.0095095,           0.0095095,           0.0095095
                   4,            0.049198,            0.021474,            0.016997,             0.58187,             0.47824,             0.45555,             0.19376,            0.034605,            0.015119,           0.0097819,           0.0095095,           0.0095095,           0.0095095
                   5,            0.046779,            0.021384,            0.014684,             0.70117,             0.52844,             0.53956,             0.23914,            0.032513,            0.015175,           0.0088528,           0.0091406,           0.0091406,           0.0091406
                   6,            0.044763,            0.020405,            0.012913,             0.71943,             0.54909,             0.58729,              0.2656,            0.031727,            0.014443,           0.0077246,            0.008682,            0.008682,            0.008682
                   7,            0.043287,            0.019478,            0.011959,             0.68929,             0.55513,             0.59458,             0.26678,            0.031677,            0.014586,           0.0071919,            0.008145,            0.008145,            0.008145
                   8,            0.041667,            0.019917,            0.011103,             0.72581,              0.5636,             0.65406,             0.30624,            0.029872,            0.014049,           0.0064316,            0.007543,            0.007543,            0.007543
                   9,            0.040528,             0.01913,           0.0098508,             0.65965,              0.6888,             0.70873,             0.34013,            0.028768,            0.013657,           0.0060539,           0.0068906,           0.0068906,           0.0068906
                  10,            0.039175,            0.019049,           0.0091833,             0.71682,             0.68956,             0.71534,             0.35536,            0.028373,            0.013516,           0.0055641,            0.006204,            0.006204,            0.006204
                  11,            0.037965,            0.018142,            0.008852,             0.76475,             0.70506,             0.74928,             0.37282,            0.027251,            0.013229,           0.0049656,              0.0055,              0.0055,              0.0055
                  12,            0.037199,            0.018077,           0.0080595,              0.7378,             0.73219,             0.75982,             0.38038,            0.026618,            0.012939,           0.0044957,            0.004796,            0.004796,            0.004796
                  13,            0.036333,             0.01757,           0.0078363,             0.77724,             0.72875,             0.76723,             0.39505,            0.026384,            0.012776,           0.0042184,           0.0041094,           0.0041094,           0.0041094
                  14,            0.035224,            0.017077,           0.0071522,              0.7938,             0.73344,              0.7843,             0.40676,            0.025758,             0.01264,           0.0041045,            0.003457,            0.003457,            0.003457
                  15,            0.034557,            0.017676,           0.0069339,             0.77016,             0.73326,             0.76231,             0.40556,             0.02523,             0.01252,            0.003661,            0.002855,            0.002855,            0.002855
                  16,            0.033529,            0.016958,           0.0061522,             0.80919,             0.75591,             0.80988,             0.43023,            0.024963,            0.012172,           0.0034505,            0.002318,            0.002318,            0.002318
                  17,            0.032923,            0.016673,           0.0059937,             0.81512,             0.74577,             0.80126,             0.43085,            0.024631,            0.012137,           0.0032202,           0.0018594,           0.0018594,           0.0018594
                  18,            0.032499,            0.016539,            0.005834,             0.82025,             0.73655,             0.78862,             0.43425,            0.024139,             0.01202,           0.0030978,           0.0014905,           0.0014905,           0.0014905
                  19,            0.031978,            0.015673,           0.0053717,             0.84109,             0.76047,             0.82645,             0.45943,            0.023997,             0.01195,           0.0029837,           0.0012202,           0.0012202,           0.0012202
